Name;Manga;Anime;Appears in;Japanese;English;Birthdate;Sex;Status;Height;Weight;Blood type;Occupation;Affiliation;Ninja Rank;Novel;Movie;Game;OVA;Age;Team;Partner;Ninja Registration;Family;Nature Type;Jutsu;Tools;Kekkei Genkai;Clan;Species;Classification;Chūnin Prom. Age;Academy Grad. Age;Unique Traits;Tailed Beast;Jinchūriki;Kekkei Mōra;Kekkei Tōta
A (First Raikage);Naruto Chapter #648;Naruto Shippūden Episode #369;Anime, Manga;Kōsuke Gotō;Steven Blum;December 1;Male;Deceased;210.1;97.2;O;Raikage;Kumogakure;Part II: Kage;;;;;;;;;;;;;;;;;;;;;;;
A (Fourth Raikage);Naruto Chapter #416;Naruto Shippūden Episode #152;Anime, Manga, Novel, Game, Movie;Hideaki Tezuka;Beau Billingslea;June 1;Male;;198.2;101.1;A;Raikage, Supreme Leader of the Allied Shinobi Forces;Kumogakure, Allied Shinobi Forces;Part II: Kage;Kakashi Hiden: Lightning in the Icy Sky;Naruto the Movie: Blood Prison;Naruto Shippūden: Gekitō Ninja Taisen! Special;Naruto Shippūden: UNSG anime cutscenes;47;Eight-Tails Subduing Team, A–B Combo;Killer B;CL2211;A (Father), Killer B (Adoptive Brother), Blue B (Cousin);Lightning Release, Earth Release, Water Release;Body Flicker Technique, Drop Kick (Anime only), Elbow, Guillotine Drop, Iron Claw, Liger Bomb, Lightning Oppression Horizontal, Lightning Oppression Horizontal Chop, Lightning Release Chakra Mode, Lightning Release: Double Lariat, Lightning Release: Lariat, Lightning Straight, Lightning Water Dragon Bullet;Chakra Cannon, Vambraces;;;;;;;;;;;
A (Second Raikage);Naruto Chapter #527;Naruto Shippūden Episode #269;Anime, Manga;;;March 1;Male;Deceased;184.2;84.2;O;Raikage;Kumogakure;Part II: Kage;;;;;;;;;;;;;;;;;;;;;;;
A (Third Raikage);Naruto Chapter #494;Naruto Shippūden Episode #244;Anime, Manga, Game;Naoki Tamanoi;Beau Billingslea (episodes 244-281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abiru;Naruto Chapter #129;Naruto Episode #75;Anime, Manga;;Dave Wittenberg (Part I);;Male;;;;;;Sunagakure;Part I: Academy Student;;;;;6;;;;;;;;;;;;;;;;;;
Ada;Boruto Chapter #56;Boruto Episode #287;Anime, Manga;Kana Hanazawa;;;Female;;;;;;Kara, Konohagakure (Manga only);;;;;;16;;;;Daemon (Brother);;Omnipotence;Tools;Senrigan;;;;;;;;;;
Agara;Naruto Chapter #487;Naruto Shippūden Episode #221;Anime, Manga;;;;Male;Deceased;;;;;Takigakure;Part II: Chūnin;;;;;22;;;;;;;;;;;;;;;;;;
Agari;Naruto Chapter #31;Naruto Episode #18;Anime, Manga, Game;Yoshino Otori;Colleen Villard;;Female;;;;;;Land of Waves;;;;Naruto: Konoha Ninpōchō;;48;;;;Giichi (Husband);;;;;;;;;;;;;;
Agari Kaisen;;Naruto Episode #175;Anime;Yutaka Nakano;John DeMita;;Male;;;;;Head of the Kedōin clan;;;;;;;;;;;;;Face Copying Technique;;;Kedōin Clan;;;;;;;;;
Ageha;Naruto Chapter #19;Naruto Episode #11;Anime, Manga, Novel, Game;Kiyomi Asai;Kate Higgins;;Female;;;;;;Land of Waves;;Naruto: Innocent Heart, Demonic Blood;;Naruto: Konoha Ninpōchō;;7;;;;;;;;;;;;;;;;;;
Agira Ryūdōin;;Naruto Episode #196;Anime;;Keith Silverstein;;Male;Deceased;;;;;;;;;;;;;;;Genshō Ryūdōin (Son), Jakō Ryūdōin (Son), Rokkaku Ryūdōin (Son);;Wooden Puppet Manipulation Technique;;;;;;;;;;;;
Ahiko;Naruto Chapter #350;Naruto Shippūden Episode #117;Anime, Manga;Ichirota Koizumi;;;Male;;;;;Prisoner;;;;;;;25;;;;;;;;;;;;;;;;;;
Aho Bird;;Naruto Episode #55;Anime, Game;;;;;;;;;;;;;;Naruto: Ultimate Ninja Online;;;;;;;;;;;;Crow;;;;;;;;
Aino;;Naruto Shippūden Episode #460;Anime;Ayako Takeuchi;Cassandra Morris;;Female;Deceased;159.7;;;Attendant of the Land of Ancestors;Land of Ancestors;;;;;;;;;;;;;;;;;;;;;;;;
Ajisai;Naruto Chapter #407;Naruto Shippūden Episode #155;Anime, Manga, Game;Shiho Hisajima;Stephanie Sheh , Kari Wahlgren (Naruto Shippūden: Ultimate Ninja Storm 2);;Female;Deceased;155.6;;;;Amegakure;Part I: Genin, Part II: Chūnin;;;Naruto Shippūden: Ultimate Ninja Storm 2;Naruto x UT;;Team Ajisai (Anime only);;;;;Enclosing Technique (Anime only), Summoning Technique (Panda) (Anime only), Summoning: Rainwater Gate (Anime only), Unsealing Technique (Anime only), Unsealing Technique: Paper Snowstorm (Anime only), Unsealing Technique: Shuriken (Anime only);;;;;;;;;;;;
Akaboshi;;Naruto Shippūden Episode #144;Anime;Akimitsu Takase;Christopher Corey Smith;;Male;;;;;;;;;;;;;Magaki Group;;;;Lightning Release;Barrier Shattering Technique, Chakra Transfer Technique, Combination Transformation, Hurricane Thunderclap, Impermanence of Worldly Things, Infinite Embrace, Multiple Infinite Embraces, Shadow Rope Technique, Telegram Flash;;;;;;;;;;;;
Akahoshi;;Naruto Episode #178;Anime;Mitsuru Miyamoto;Kirk Thornton;;Male;;;;;Hoshikage;Hoshigakure;Part I: Kage;;;;;;;;;;;Mysterious Peacock Method;Meteorite;;;;;;;;;;;
Akamaru;Naruto Chapter #39;Naruto Episode #23;Anime, Manga, Novel, Game, Movie;Junko Takeuchi , Kōsuke Toriumi (Man-Beast Form);Jamie Simone , Kyle Hebert (Man-Beast Form);July 7;Male;;127.2;80.5;;;Konohagakure, Allied Shinobi Forces;;Kakashi Hiden: Lightning in the Icy Sky;Naruto Shippūden the Movie: The Will of Fire;Naruto: Konoha Ninpōchō;Hidden Leaf Village Grand Sports Festival!;8;Team 8, Konoha 11 (Anime only), Sasuke Recovery Team, Bikōchū Search Team (Anime only), Team Two (Anime only), Eight Man Squad, Fifth Division;Kiba Inuzuka;;;;Beast Human Clone, Combination Transformation, Dynamic Marking, Fang Passing Fang, Fang Rotating Fang, Fang Wolf Fang, Human Beast Combination Transformation: Double-Headed Wolf, Human Beast Mixture Transformation — Three-Headed Wolf, Passing Fang, Super Fang Wolf Fang (Anime only), Tail Chasing Fang Fang Rotating Fang;Military Rations Pill;;Inuzuka Clan;Ninken;;;;;;;;
Akane;Naruto Chapter #20;Naruto Episode #11;Anime, Manga;Yūko Satō, Toa Yukinari (Part II);Julianne Buescher , Laura Bailey (Part II);;Male;;;;;Carpenter;Land of Waves;;;;;;9;;;;Akanes Father (Father) (Anime only);;;;;;;;;;;;;;
Akane (Kunoichi);;Naruto Shippūden Episode #479;Anime, Novel, Movie;Riho Takada;Debi Mae West;;Female;;;;;;Konohagakure;;The Last: Naruto the Movie;The Last: Naruto the Movie;;;;Narutos Fan Girls;;;;;;;;;;;;;;;;;
Akanes Father;;Naruto Shippūden Episode #180;Anime;;Patrick Seitz;;Male;;;;;;Land of Waves;;;;;;;;;;Akane (Son);;;;;;;;;;;;;;
Akari;;Boruto Episode #210;Anime;Haruna Kakiage;Colleen Villard;;Female;;;;;Cultist;;;;;;;;;;;Kagari (Brother);;;;;;;;;;;;;;
Akari Tatsushiro;;;Game;Sanae Kobayashi;Eden Riegel;;Female;;;;;;;;;;Naruto Shippūden: Dragon Blade Chronicles;;16;;;;Kuroma Tatsushiro (Brother);;;;;Ryū Clan;;;;;;;;;
